'volatile acidity',chlorides,'free sulfur dioxide',density,sulphates,alcohol,Cluster,quality
0.26,0.043,47,0.9937,0.5,10.1,cluster5,6
0.32,0.036,46,0.993,0.48,10.5,cluster1,5
0.32,0.023,19,0.9902,0.53,12.7,cluster4,6
0.24,0.024,35,0.9928,0.51,10.9,cluster1,5
0.44,0.041,35,0.9896,0.43,13.5,cluster3,7
0.25,0.042,28,0.998,0.59,9.7,cluster2,5
0.14,0.041,44,0.9954,0.43,9.2,cluster5,6
0.18,0.036,33,0.9938,0.41,10.6,cluster3,7
0.43,0.033,36,0.9918,0.39,13.3,cluster3,7
0.44,0.041,35,0.9896,0.43,13.5,cluster3,7
0.26,0.037,23,0.9944,0.32,10.1,cluster1,5
0.66,0.042,62,0.9999,0.68,9.4,cluster0,4
0.2,0.055,41,0.9953,0.4,10.6,cluster3,7
0.21,0.046,25,0.992,0.4,11.3,cluster4,6
0.18,0.045,20,0.9925,0.4,10.8,cluster3,7
0.57,0.051,46,0.9981,0.51,10.4,cluster0,5
0.26,0.034,48,0.9952,0.51,10.5,cluster3,7
0.245,0.049,28,0.9927,0.42,9.3,cluster2,5
0.245,0.047,24,0.9927,0.42,9.3,cluster5,6
0.25,0.037,52,0.9911,0.39,12.2,cluster3,7
0.16,0.138,58,0.9936,0.3,9.2,cluster2,5
0.22,0.057,29,0.9959,0.57,10.3,cluster5,6
0.18,0.046,28,0.9946,0.62,9.4,cluster5,6
0.17,0.036,88,0.9948,0.35,10.2,cluster5,6
0.29,0.034,65,0.9955,0.39,9,cluster5,6
0.21,0.036,64,0.9951,0.36,9.3,cluster5,6
0.23,0.037,63,0.9952,0.34,9.2,cluster5,6
0.19,0.05,31,0.9946,0.64,9.4,cluster5,6
0.18,0.046,28,0.9946,0.62,9.4,cluster5,6
0.29,0.039,77.5,0.9944,0.46,9.5,cluster5,6
0.14,0.036,15,0.9938,0.39,9.9,cluster1,5
0.31,0.059,36,0.9963,0.62,11.1,cluster3,7
0.28,0.028,36,0.991,0.41,12.3,cluster4,8
0.22,0.044,45,1.0003,0.69,8.6,cluster3,7
0.31,0.04,21,0.9966,0.35,9.4,cluster2,5
0.35,0.048,55,0.9993,0.58,9.4,cluster5,6
0.22,0.044,45,1.0003,0.69,8.6,cluster3,7
0.5,0.037,23,0.9938,0.42,10.9,cluster1,5
0.39,0.169,32,0.9965,0.48,9.4,cluster0,5
0.5,0.037,23,0.9938,0.42,10.9,cluster1,5
0.35,0.048,55,0.9993,0.58,9.4,cluster5,6
0.22,0.064,20,0.9938,0.46,9.2,cluster5,6
0.22,0.044,45,1.0003,0.69,8.6,cluster3,7
0.31,0.04,21,0.9966,0.35,9.4,cluster2,5
0.24,0.083,10,0.9942,0.37,10.8,cluster4,6
0.27,0.025,14,0.9928,0.62,10.5,cluster5,6
0.16,0.026,29,0.991,0.78,12.5,cluster4,6
0.27,0.028,26,0.9911,0.48,12.1,cluster3,7
0.31,0.039,51,0.9977,0.43,8.7,cluster2,5
0.45,0.026,50,0.9927,0.25,12.7,cluster4,8
0.27,0.028,26,0.9911,0.48,12.1,cluster3,7
0.16,0.026,29,0.991,0.78,12.5,cluster4,6
0.16,0.05,40,0.9912,0.44,11.4,cluster3,7
0.21,0.032,35,0.9907,0.6,12.9,cluster3,7
0.32,0.029,29,0.9902,0.51,12.8,cluster3,7
0.16,0.034,15,0.992,0.44,11.2,cluster4,6
0.16,0.033,16,0.994,0.42,9.7,cluster5,6
0.23,0.038,54,0.9966,0.56,9.7,cluster5,6
0.17,0.037,14,0.993,0.54,10.3,cluster5,6
0.39,0.03,10,0.993,0.87,11.6,cluster3,4
0.41,0.031,10,0.993,0.86,11.6,cluster3,4
0.23,0.038,54,0.9966,0.56,9.7,cluster5,6
0.38,0.045,30,0.9942,0.44,10.9,cluster4,6
0.42,0.045,29,0.9925,0.37,12.6,cluster3,7
0.34,0.04,45,0.9925,0.47,12.4,cluster4,6
0.23,0.042,45,0.9928,0.4,11.5,cluster1,5
0.245,0.045,52,0.995,0.35,10.2,cluster5,6
0.2,0.032,51,0.9939,0.27,11.4,cluster1,5
0.19,0.067,39,0.9958,0.33,9.6,cluster5,6
0.2,0.035,60,0.9952,0.3,10.3,cluster5,6
0.59,0.038,61,1,0.75,9.3,cluster0,5
0.14,0.05,17,0.9948,0.49,10.7,cluster3,7
0.24,0.047,34,0.99,0.49,12.8,cluster4,8
0.14,0.049,23,0.9958,0.62,9.5,cluster2,5
0.15,0.046,22,0.9948,0.45,10.4,cluster5,6
0.17,0.049,14,0.9949,0.61,10.3,cluster5,6
0.365,0.041,37,0.997,0.39,9.9,cluster5,6
0.23,0.039,37,0.9927,0.5,10.7,cluster5,6
0.25,0.04,16,0.9938,0.43,10.5,cluster1,5
0.32,0.046,14,0.9949,0.48,9.6,cluster2,5
0.31,0.04,46,0.9953,0.46,9.3,cluster5,6
0.2,0.044,63,0.997,0.46,10,cluster5,6
0.255,0.026,40,0.9932,0.39,11.2,cluster4,6
0.15,0.039,21,0.9927,0.62,10.8,cluster1,5
0.15,0.044,25,0.9932,0.51,10.3,cluster5,6
0.25,0.038,59,0.9955,0.42,8.8,cluster2,5
0.19,0.044,6,0.9914,0.74,12.8,cluster4,6
0.43,0.028,17,0.991,0.43,13.2,cluster4,6
0.31,0.037,28,0.992,0.56,10.1,cluster5,6
0.2,0.093,40,0.9924,0.66,11,cluster1,5
0.16,0.043,21,0.9927,0.62,10.8,cluster5,6
0.32,0.04,28,0.9911,0.52,12.8,cluster3,7
0.22,0.042,33,0.9958,0.36,9.2,cluster5,6
0.26,0.047,44,0.9928,0.44,10.5,cluster5,6
0.37,0.028,13,0.9902,0.38,11.7,cluster4,6
0.19,0.052,20,0.994,0.46,9.5,cluster2,5
0.21,0.05,24,0.994,0.45,9.5,cluster2,5
0.15,0.058,24,0.9972,0.4,8.8,cluster5,6
0.16,0.05,69,1.0004,0.51,9.3,cluster3,7
0.21,0.034,62,0.991,0.75,12.6,cluster3,8
0.24,0.048,26,0.9918,0.34,12.4,cluster4,6
0.21,0.047,60,0.995,0.72,10.1,cluster5,6
0.29,0.042,38,0.9941,0.37,11.2,cluster1,8
0.18,0.048,40,0.9956,0.52,10,cluster2,5
0.18,0.048,40,0.9956,0.52,10,cluster2,5
0.58,0.033,37,0.9959,0.39,10.8,cluster4,6
0.16,0.04,50,0.9922,0.33,10,cluster5,6
0.54,0.029,13,0.9931,0.33,10.4,cluster0,5
0.58,0.033,37,0.9959,0.39,10.8,cluster4,6
0.25,0.059,52,0.9984,0.47,9.8,cluster5,6
0.23,0.041,51,0.9908,0.4,12.2,cluster4,8
0.39,0.043,36,0.991,0.48,12.7,cluster4,8
0.46,0.039,46,0.9928,0.35,12.2,cluster3,7
0.35,0.039,35,0.9936,0.34,11.9,cluster3,7
0.29,0.042,38,0.9941,0.37,11.2,cluster1,8
0.35,0.042,15,0.9924,0.28,10.4,cluster1,4
0.57,0.034,22,0.9917,0.67,12.8,cluster3,7
0.37,0.027,40,0.9906,0.39,12.7,cluster3,7
0.21,0.047,60,0.995,0.72,10.1,cluster5,6
0.18,0.048,40,0.9956,0.52,10,cluster2,5
0.13,0.04,43,0.9955,0.41,9,cluster2,5
0.19,0.04,38,0.9907,0.42,11.4,cluster1,5
0.22,0.05,55,1,0.59,8.9,cluster5,6
0.29,0.039,43,0.9953,0.44,9.3,cluster5,6
0.35,0.048,35,0.9911,0.46,12,cluster4,8
0.19,0.04,31,0.9922,0.54,10.8,cluster3,7
0.12,0.044,56,0.9951,0.37,10.5,cluster5,6
0.13,0.038,56,0.9948,0.43,10.6,cluster3,7
0.25,0.04,42,0.9906,0.48,11.3,cluster3,7
0.32,0.051,15,0.994,0.38,9.5,cluster2,4
0.19,0.04,38,0.9907,0.42,11.4,cluster1,5
0.13,0.046,35,0.9927,0.33,10.1,cluster3,7
0.14,0.037,22,0.9914,0.43,10.9,cluster4,6
0.27,0.058,19,0.9958,0.45,8.9,cluster2,5
0.22,0.05,55,1,0.59,8.9,cluster5,6
0.64,0.168,42,0.9984,0.49,9.3,cluster0,5
0.28,0.052,23,0.9941,0.4,10.4,cluster5,6
0.26,0.042,41,0.9944,0.38,12,cluster3,7
0.22,0.044,37,0.998,0.68,9.5,cluster5,6
0.22,0.044,37,0.998,0.68,9.5,cluster5,6
0.23,0.032,24,0.9902,0.38,12.4,cluster3,7
0.3,0.032,30,0.9911,0.41,11.2,cluster3,7
0.27,0.047,6,0.9929,0.69,11.4,cluster4,6
0.28,0.05,10,0.993,0.71,11.4,cluster4,6
0.28,0.047,46,0.9918,0.38,11.1,cluster3,7
0.46,0.054,5,0.992,0.42,10.4,cluster5,6
0.38,0.044,36,0.9932,0.35,12,cluster3,7
0.43,0.039,24,0.992,0.61,12.3,cluster3,7
0.56,0.045,28,0.994,0.35,9.1,cluster5,6
0.36,0.046,25,0.9923,0.33,10.5,cluster5,6
0.23,0.047,5,0.993,0.7,11.4,cluster4,6
0.33,0.042,26,0.9956,0.64,9.5,cluster2,5
0.49,0.039,17,0.9907,0.9,13.7,cluster3,7
0.42,0.034,15,0.99,0.51,13.4,cluster4,6
0.18,0.044,12,0.9918,0.48,11.3,cluster3,7
0.19,0.037,73,0.9926,0.34,10,cluster5,6
0.19,0.034,33,0.995,0.42,10.1,cluster5,6
0.16,0.029,23,0.99,0.42,12.2,cluster4,6
0.42,0.034,15,0.99,0.51,13.4,cluster4,6
0.135,0.042,19,0.9946,0.42,9.3,cluster5,6
0.49,0.039,17,0.9907,0.9,13.7,cluster3,7
0.19,0.039,27,0.9898,0.46,12.3,cluster3,7
0.18,0.044,12,0.9918,0.48,11.3,cluster3,7
0.25,0.05,35,0.9986,0.46,8.9,cluster3,7
0.25,0.05,35,0.9986,0.46,8.9,cluster3,7
0.2,0.035,32,0.9928,0.46,11.5,cluster4,6
0.25,0.05,35,0.9986,0.46,8.9,cluster3,7
0.67,0.052,57,0.9979,0.52,9.3,cluster5,6
0.4,0.044,31,0.994,0.5,11.1,cluster1,8
0.26,0.044,29,0.9937,0.64,10.9,cluster3,8
0.31,0.043,11,0.9938,0.38,11.6,cluster1,5
0.39,0.069,9,0.9942,0.35,10.2,cluster1,4
0.22,0.034,12,0.9944,0.38,10.5,cluster1,8
0.19,0.033,16,0.993,0.78,11.4,cluster4,6
0.25,0.05,35,0.9986,0.46,8.9,cluster3,7
0.2,0.04,29,0.9932,0.41,10.6,cluster5,6
0.26,0.037,39,0.9934,0.4,11.6,cluster4,6
0.2,0.035,32,0.9928,0.46,11.5,cluster4,6
0.3,0.035,26,0.9925,0.79,12.3,cluster3,8
0.29,0.042,22,0.9944,0.41,10.8,cluster4,6
0.17,0.037,55,0.9909,0.38,11.3,cluster4,6
0.415,0.038,22,0.9932,0.36,9.3,cluster0,5
0.23,0.045,16,0.9934,0.6,10,cluster5,6
0.55,0.057,35.5,1.0001,0.63,11,cluster0,3
0.35,0.044,18,0.992,0.55,10.2,cluster1,5
0.14,0.04,27,0.9916,0.4,10.8,cluster3,7
0.28,0.042,29,0.998,0.34,10.1,cluster1,4
0.18,0.047,17,0.9919,0.37,11.6,cluster4,6
0.165,0.051,25,0.9925,0.47,9.1,cluster2,5
0.25,0.056,36,0.9977,0.43,10,cluster5,4
0.29,0.042,22,0.9944,0.41,10.8,cluster4,6
0.22,0.052,26,0.991,0.35,11.4,cluster4,6
0.22,0.045,34,0.99,0.34,12.7,cluster4,6
0.25,0.042,35,0.9917,0.55,11.3,cluster1,5
0.18,0.033,28,0.9923,0.68,10.4,cluster3,7
0.22,0.051,18,0.9928,0.46,9.6,cluster2,5
0.39,0.048,8,0.9923,0.31,10.1,cluster1,4
0.22,0.051,18,0.9928,0.46,9.6,cluster2,5
0.36,0.03,16,0.9902,0.49,12.1,cluster3,7
0.29,0.031,32,0.9893,0.33,12.2,cluster4,6
0.25,0.042,35,0.9917,0.55,11.3,cluster1,5
0.23,0.053,19,0.9982,0.5,9.6,cluster2,5
0.56,0.051,51,1.0005,0.7,9.2,cluster0,5
0.18,0.033,28,0.9923,0.68,10.4,cluster3,7
0.23,0.05,67,0.9951,0.34,9.5,cluster2,5
0.25,0.052,67,0.9956,0.47,8.9,cluster2,5
0.26,0.05,56,0.998,0.44,8.8,cluster2,5
0.31,0.057,17,0.9928,0.35,10.5,cluster1,5
0.25,0.061,27,0.9938,0.34,9.4,cluster2,5
0.18,0.04,34,0.9914,0.4,12.2,cluster4,6
0.43,0.033,37,0.9955,0.35,11.3,cluster4,6
0.2,0.044,33,0.9924,0.42,12.2,cluster4,6
0.27,0.063,35,0.9911,0.42,12.2,cluster4,6
0.16,0.055,18,0.9917,0.47,11.2,cluster4,6
0.16,0.055,18,0.9917,0.47,11.2,cluster4,6
0.19,0.036,49,0.9932,0.27,11.5,cluster4,6
0.43,0.033,37,0.9955,0.35,11.3,cluster4,6
0.4,0.048,11,0.9929,0.42,9.3,cluster0,5
0.43,0.033,37,0.9955,0.35,11.3,cluster4,6
0.52,0.034,37,0.9958,0.38,11.8,cluster3,7
0.21,0.054,50,1.0012,0.54,9.2,cluster2,5
0.34,0.069,44,0.9968,0.81,9.2,cluster2,5
0.27,0.063,35,0.9911,0.42,12.2,cluster4,6
0.2,0.044,33,0.9924,0.42,12.2,cluster4,6
0.22,0.044,42,0.991,0.41,12.2,cluster4,6
0.11,0.048,27,0.9946,0.42,10.6,cluster5,6
0.17,0.05,29,0.9928,0.4,12.4,cluster4,6
0.145,0.048,54,0.9946,0.44,10.8,cluster5,6
0.16,0.055,18,0.9917,0.47,11.2,cluster4,6
0.19,0.051,11,0.9918,0.46,11,cluster4,6
0.44,0.031,46,0.9926,0.27,12.7,cluster4,8
0.2,0.044,19,0.9931,0.53,10.2,cluster1,5
0.19,0.036,49,0.9932,0.27,11.5,cluster4,6
0.25,0.03,30,0.9903,0.39,12.3,cluster3,7
0.24,0.046,15,0.9928,0.39,9.8,cluster2,5
0.4,0.048,11,0.9929,0.42,9.3,cluster0,5
0.52,0.034,37,0.9958,0.38,11.8,cluster3,7
0.43,0.033,37,0.9955,0.35,11.3,cluster4,6
0.21,0.052,6,0.9911,0.28,11.4,cluster1,5
0.2,0.038,39,0.9938,0.48,10.8,cluster5,6
0.25,0.057,13,0.9942,0.48,9.5,cluster5,4
0.08,0.05,18,0.9945,0.44,10.2,cluster5,6
0.85,0.028,40,0.9962,0.36,10.7,cluster0,5
0.51,0.04,10,0.992,0.29,10.8,cluster4,6
0.22,0.044,39,0.9927,0.28,11.5,cluster4,6
0.16,0.056,20,0.9948,0.49,10.7,cluster5,6
0.08,0.05,18,0.9945,0.44,10.2,cluster5,6
0.25,0.048,26,0.9942,0.6,10.1,cluster5,6
0.16,0.046,57,0.9952,0.81,10.4,cluster5,6
0.25,0.057,13,0.9942,0.48,9.5,cluster5,4
0.32,0.053,8,0.9958,0.5,9.1,cluster2,3
0.28,0.034,20,0.9918,0.39,10.6,cluster5,6
0.15,0.033,17,0.9932,0.7,9.4,cluster5,6
0.25,0.054,44,1.0004,0.45,9.8,cluster5,6
0.26,0.044,68,0.9972,0.54,9.5,cluster5,6
0.16,0.037,52,0.9998,0.41,9.3,cluster2,5
0.185,0.03,28,0.9918,0.45,10.3,cluster5,6
0.2,0.031,8,0.9918,0.62,11.1,cluster1,5
0.3,0.046,47,0.9964,0.48,10,cluster2,5
0.34,0.033,39,0.9936,0.38,12.3,cluster4,8
0.35,0.033,42,0.9931,0.38,12.4,cluster4,8
0.29,0.03,45,0.9938,0.38,12.3,cluster3,7
0.62,0.039,6,0.9934,0.32,10.4,cluster0,5
0.27,0.044,35,0.99,0.48,12.1,cluster3,7
0.27,0.041,23,0.9914,0.42,12.5,cluster4,6
0.51,0.043,14,0.9904,0.6,13,cluster4,6
0.19,0.03,26,0.994,0.32,11,cluster3,7
0.2,0.04,34,0.9938,0.37,10.1,cluster1,5
0.3,0.034,17,0.9933,0.36,9.2,cluster2,5
0.36,0.039,24,0.9909,0.34,12.6,cluster3,7
0.17,0.045,24,0.9942,0.38,12.2,cluster4,8
0.18,0.041,39,0.9945,0.49,9.8,cluster3,7
0.2,0.051,51,0.9954,0.52,11,cluster4,6
0.26,0.044,59,0.996,0.64,10,cluster5,6
0.21,0.06,50,0.9991,0.44,9.8,cluster5,6
0.2,0.053,15,0.993,0.47,10.5,cluster1,5
0.18,0.061,10,0.9942,0.48,10,cluster2,5
0.23,0.042,15,0.9934,0.51,11.2,cluster4,6
0.22,0.034,29,0.9939,0.32,11,cluster3,7
0.22,0.031,48,0.9937,0.28,11.2,cluster4,6
0.19,0.03,26,0.994,0.32,11,cluster3,7
0.155,0.039,34,0.9926,0.77,10.5,cluster5,6
0.22,0.037,53,0.9951,0.33,10.6,cluster5,6
0.24,0.038,52,0.9952,0.33,10.6,cluster5,6
0.23,0.035,22,0.9935,0.34,12,cluster4,6
0.2,0.04,34,0.9938,0.37,10.1,cluster1,5
0.2,0.038,38,0.9939,0.37,10.1,cluster5,6
0.3,0.034,17,0.9933,0.36,9.2,cluster2,5
0.21,0.041,15,0.9927,0.63,11,cluster1,5
0.25,0.044,31,0.998,0.49,10,cluster5,6
0.21,0.042,41,0.9997,0.39,8.7,cluster5,6
0.27,0.037,47,0.9981,0.44,8.7,cluster2,5
0.27,0.037,33,0.992,0.54,11.1,cluster4,6
0.28,0.045,48,0.9954,0.55,11,cluster4,6
0.27,0.037,33,0.992,0.54,11.1,cluster4,6
0.21,0.042,41,0.9997,0.39,8.7,cluster5,6
0.27,0.037,47,0.9981,0.44,8.7,cluster2,5
0.3,0.037,26,0.9943,0.3,11.2,cluster3,7
0.23,0.049,61,0.9941,0.3,11.1,cluster3,7
0.26,0.028,32,0.9936,0.54,10.8,cluster5,6
0.18,0.044,44,0.9996,0.67,9,cluster5,6
0.15,0.031,17,0.9932,0.4,10.3,cluster5,6
0.13,0.028,6,0.9926,0.32,9.9,cluster1,5
0.28,0.04,32,0.9936,0.41,10,cluster5,6
0.17,0.034,26,0.992,0.42,9.8,cluster5,6
0.26,0.028,32,0.9936,0.54,10.8,cluster5,6
0.18,0.044,44,0.9996,0.67,9,cluster5,6
0.53,0.029,29,0.993,0.32,9.1,cluster0,4
0.16,0.037,27,0.9924,0.57,10.6,cluster5,6
0.14,0.038,28,0.9928,0.72,10.6,cluster5,6
0.13,0.028,6,0.9926,0.32,9.9,cluster1,5
0.12,0.049,33,0.9952,0.47,10.6,cluster5,6
0.29,0.034,35,0.9945,0.45,9.9,cluster5,6
0.3,0.034,36,0.9945,0.45,9.9,cluster5,6
0.36,0.025,32,0.9903,0.59,12.8,cluster4,6
0.15,0.031,17,0.9932,0.4,10.3,cluster5,6
0.18,0.051,36,0.9953,0.48,10.6,cluster5,6
0.19,0.122,45,0.9936,0.31,8.7,cluster5,6
0.21,0.038,44,0.9912,0.44,12.6,cluster3,7
0.3,0.057,25,0.9962,0.63,11,cluster3,7
0.42,0.056,32,0.9965,0.6,11.2,cluster3,7
0.24,0.032,35,0.9932,0.57,10.7,cluster3,7
0.23,0.036,45,0.9967,0.58,9.6,cluster5,6
0.18,0.051,36,0.9953,0.48,10.6,cluster5,6
0.43,0.045,12,0.9963,0.57,9,cluster0,4
0.35,0.036,14,0.992,0.33,10.5,cluster1,4
0.3,0.033,33,0.991,0.52,12.8,cluster4,6
0.28,0.059,10,0.9958,0.46,10.1,cluster1,5
0.34,0.027,26,0.99,0.33,12.2,cluster3,7
0.3,0.033,33,0.991,0.52,12.8,cluster4,6
0.28,0.059,10,0.9958,0.46,10.1,cluster1,5
0.19,0.044,29,0.9938,0.51,10.1,cluster5,6
0.18,0.046,36,0.9996,0.41,9.2,cluster2,5
0.19,0.055,19,0.9946,0.44,9.9,cluster2,5
0.3,0.055,49,0.9974,0.58,9.7,cluster5,6
0.3,0.038,35,0.9945,0.46,9.9,cluster2,5
0.3,0.041,36,0.9946,0.45,9.9,cluster2,5
0.3,0.055,49,0.9974,0.58,9.7,cluster5,6
0.22,0.063,50,0.9957,0.5,10.3,cluster5,6
0.26,0.045,21,0.9931,0.35,10.3,cluster1,5
0.17,0.048,23,0.9947,0.34,10.5,cluster1,4
0.17,0.053,61,0.9953,0.76,10.5,cluster5,6
0.27,0.05,20,0.9931,0.44,9.8,cluster5,6
0.64,0.05,17,0.9946,0.58,10.6,cluster0,4
0.18,0.046,54,0.9978,0.68,10.1,cluster2,5
0.31,0.062,50,0.9989,0.53,9,cluster2,4
0.31,0.046,13,1.0004,0.45,9.5,cluster2,5
0.3,0.039,32,0.9938,0.32,11.5,cluster4,6
0.24,0.039,46,0.9934,0.33,11.9,cluster3,7
0.18,0.046,54,0.9978,0.68,10.1,cluster2,5
0.25,0.045,52,0.9956,0.42,9.2,cluster5,6
0.3,0.039,46,0.9982,0.4,8.7,cluster2,5
0.31,0.042,34,0.9948,0.46,9.8,cluster2,5
0.25,0.045,52,0.9956,0.42,9.2,cluster5,6
0.3,0.039,46,0.9982,0.4,8.7,cluster2,5
0.27,0.036,27,0.9926,0.48,11.2,cluster4,6
0.14,0.028,30,0.991,0.82,12.3,cluster4,6
0.12,0.042,49,0.9945,0.44,10.4,cluster5,6
0.21,0.047,25,0.9916,0.41,10.7,cluster5,6
0.16,0.043,9,0.9953,0.59,10.5,cluster5,6
0.29,0.047,37,0.9938,0.4,9.4,cluster5,6
0.27,0.046,53,0.9956,0.43,9.2,cluster5,6
0.55,0.034,56,0.9906,0.3,11.9,cluster1,5
0.27,0.046,53,0.9956,0.43,9.2,cluster5,6
0.24,0.172,24,0.9932,0.39,9.9,cluster5,6
0.33,0.167,20,0.9914,0.5,11.4,cluster4,6
0.29,0.047,37,0.9938,0.4,9.4,cluster5,6
0.34,0.046,55,0.996,0.52,10.7,cluster5,6
0.39,0.034,27,0.9906,0.36,12.7,cluster1,5
0.41,0.034,10,0.98815,0.5,13.5,cluster3,7
0.41,0.048,39,0.9942,0.35,9.5,cluster0,5
0.26,0.032,31,0.9903,0.42,12.9,cluster4,9
0.32,0.031,44,0.9906,0.46,12.5,cluster4,6
0.19,0.04,44,0.9935,0.38,9.5,cluster3,7
0.27,0.057,59,1.0024,0.47,8.6,cluster2,5
0.2,0.048,46,0.9968,0.46,10,cluster3,7
0.32,0.031,44,0.9906,0.46,12.5,cluster4,6
0.26,0.04,19,0.9941,0.34,10.1,cluster5,6
0.26,0.027,28,0.9919,0.32,11.3,cluster3,7
0.14,0.035,42,0.9928,0.4,10.6,cluster3,7
0.29,0.035,40,0.9958,0.34,10.8,cluster1,5
0.19,0.047,42,0.9932,0.47,10.7,cluster5,6
0.34,0.045,61,0.9957,0.4,9,cluster5,6
0.2,0.065,17,0.9937,0.52,9.2,cluster5,6
0.37,0.045,53,0.9982,0.48,8.5,cluster5,6
0.22,0.029,31,0.9928,0.36,11.3,cluster1,8
0.26,0.027,28,0.9919,0.32,11.3,cluster3,7
0.32,0.05,17,0.9956,0.34,9.4,cluster2,5
0.44,0.045,16,0.9957,0.37,8.7,cluster5,6
0.14,0.053,22,0.9954,0.36,9.4,cluster5,6
0.17,0.039,46,0.993,0.51,10.5,cluster3,7
0.26,0.037,37,0.9954,0.53,9.7,cluster5,6
0.22,0.048,52,0.9987,0.44,10.2,cluster5,6
0.32,0.05,17,0.9956,0.34,9.4,cluster2,5
0.2,0.057,14,0.9928,0.35,11.5,cluster4,6
0.15,0.047,21,0.9951,0.31,9.6,cluster5,6
0.25,0.053,6,0.993,0.7,11.4,cluster1,5
0.2,0.057,14,0.9928,0.35,11.5,cluster4,6
0.28,0.041,28,0.9926,0.58,12.2,cluster4,8
0.19,0.037,15,0.9938,0.38,11,cluster3,7
0.25,0.048,50,1.0001,0.52,9.2,cluster5,6
0.14,0.035,21,0.9933,0.45,10.2,cluster5,6
0.49,0.043,29,0.9952,0.33,10,cluster0,5
0.12,0.042,43,0.9934,0.48,9.7,cluster5,6
0.47,0.239,42,0.9988,0.51,9.2,cluster0,5
0.22,0.042,26,0.993,0.39,10.5,cluster1,5
0.49,0.043,29,0.9952,0.33,10,cluster0,5
0.22,0.054,42,0.9948,0.52,10.1,cluster5,6
0.19,0.058,50,0.9998,0.36,9.1,cluster3,7
0.3,0.049,50,0.9971,0.57,10.2,cluster3,7
0.19,0.058,50,0.9998,0.36,9.1,cluster3,7
0.24,0.048,50,0.9962,0.59,10.5,cluster3,7
0.22,0.054,42,0.9948,0.52,10.1,cluster5,6
0.21,0.036,20,0.99,0.28,12.1,cluster3,7
0.3,0.045,31,0.9942,0.59,10.2,cluster2,5
0.26,0.058,39,0.9965,0.52,9.4,cluster2,4
0.31,0.044,27,0.9912,0.67,12.8,cluster3,7
0.42,0.076,48,0.9978,0.58,9,cluster5,6
0.29,0.044,29,0.9928,0.36,10.9,cluster1,4
0.33,0.053,35,1.0103,0.38,8.8,cluster5,6
0.46,0.052,19,0.9956,0.38,9,cluster0,5
0.28,0.046,27,0.9936,0.59,10.2,cluster2,5
0.15,0.048,21,0.9929,0.48,9.2,cluster2,5
0.4,0.06,34,0.9966,0.58,11.3,cluster4,6
0.31,0.05,52,0.9964,0.45,8.8,cluster2,5
0.325,0.049,53,0.996,0.4,9.3,cluster2,5
0.27,0.049,62,0.9959,0.45,9.4,cluster5,6
0.26,0.047,54,0.9954,0.4,10.3,cluster5,6
0.21,0.047,30,0.9914,0.42,10.8,cluster3,7
0.33,0.053,35,1.0103,0.38,8.8,cluster5,6
0.28,0.059,32,1.0004,0.58,9,cluster2,4
0.13,0.036,48,0.9911,0.51,11.5,cluster3,8
0.445,0.04,8,0.9938,0.43,10.8,cluster1,5
0.39,0.055,33,0.9927,0.51,11.8,cluster4,6
0.18,0.033,20,0.9922,0.38,10.5,cluster3,7
0.31,0.036,10,0.9924,0.44,9.9,cluster5,6
0.24,0.046,33,0.9963,0.56,9.8,cluster5,6
0.35,0.028,27,0.9936,0.42,11.4,cluster3,7
0.26,0.138,41,0.9951,0.38,9.3,cluster2,5
0.27,0.137,35,0.9951,0.38,9.3,cluster2,5
0.22,0.046,82,0.9955,0.44,10.3,cluster5,6
0.27,0.047,65,0.9961,0.47,8.9,cluster2,5
0.35,0.028,27,0.9936,0.42,11.4,cluster3,7
0.23,0.032,60,0.992,0.35,11.1,cluster4,6
0.3,0.045,42,0.9944,0.45,10.4,cluster5,6
0.35,0.034,18,0.9944,0.43,10.1,cluster1,5
0.32,0.054,44,1.0008,0.55,9,cluster2,5
0.31,0.046,49,0.9962,0.55,11.9,cluster4,6
0.25,0.055,55,0.9986,0.38,9,cluster3,7
0.25,0.055,55,0.9986,0.38,9,cluster3,7
0.26,0.049,41.5,1,0.44,9.1,cluster3,7
0.25,0.055,55,0.9986,0.38,9,cluster3,7
0.26,0.047,42,0.9982,0.72,10,cluster2,5
0.26,0.049,41.5,1,0.44,9.1,cluster3,7
0.25,0.041,118.5,0.9949,0.63,9.4,cluster2,3
0.16,0.034,28,0.9915,0.55,11.4,cluster4,6
0.43,0.05,7,0.9951,0.45,9.7,cluster0,4
0.25,0.055,55,0.9986,0.38,9,cluster3,7
0.24,0.04,41,0.9927,0.49,11.8,cluster4,6
0.265,0.048,54,0.9955,0.41,10.2,cluster1,5
0.12,0.06,47,0.9952,0.42,9.2,cluster5,6
0.21,0.036,35,0.9928,0.4,11,cluster4,6
0.32,0.041,47,0.9982,0.31,10,cluster5,6
0.18,0.038,39,0.9914,0.37,12.2,cluster4,6
0.24,0.04,41,0.9927,0.49,11.8,cluster4,6
0.26,0.043,35,0.9918,0.43,11.6,cluster4,6
0.26,0.043,25,0.9944,0.61,10.2,cluster5,6
0.29,0.033,43,0.9969,0.46,10.3,cluster1,5
0.27,0.046,6,0.9955,0.35,8.6,cluster2,4
0.33,0.058,27,0.9954,0.44,9.6,cluster2,5
